date,type,value,games,goals
2002-03,games,30,30,5
2002-03,goals,5,30,5
2003-04,games,40,40,6
2003-04,goals,6,40,6
2004-05,games,50,50,9
2004-05,goals,9,50,9
2005-06,games,47,47,12
2005-06,goals,12,47,12
2009-07,games,53,53,23
2009-07,goals,23,53,23
2007-08,games,49,49,42
2007-08,goals,42,49,42
2008-09,games,53,53,26
2008-09,goals,26,53,26
2009-10,games,35,35,33
2009-10,goals,33,35,33
2010-11,games,54,54,53
2010-11,goals,53,54,53
2011-12,games,55,55,60
2011-12,goals,60,55,60
2012-13,games,55,55,55
2012-13,goals,55,55,55
2013-14,games,47,47,51
2013-14,goals,51,47,51
2014-15,games,54,54,61
2014-15,goals,61,54,61
2015-16,games,48,48,51
2015-16,goals,51,48,51
2016-17,games,46,46,42
2016-17,goals,42,46,42
2017-18,games,44,44,44
2017-18,goals,44,44,44
2018-19,games,43,43,28
2018-19,goals,28,43,28
