Preference,First_notice,Readibility,Noticed
Bars,Big bar,Circles,No
Circles,Title,Bars,No
Circles,Green color,Bars,No
Circles,Green color,Bars,No
Bars,Colorfulness,Bars,No
Circles,Colorfulness,Bars,No
Circles,Green color,Bars,No
Circles,Dependency,Bars,Yes
Circles,Green color,Bars,No
Uncertain,Dependency,Bars,No
Uncertain,Green color,Bars,No
Circles,Green color,Bars,No
Circles,Green color,Bars,No
Circles,Green color,Bars,No
Circles,Green color,Bars,Yes
Circles,Dependency,Bars,No
Bars,Colorfulness,Bars,No
Circles,Green color,Bars,No
