Year,USAandCAN,Euroarea,China,EastAsiaexcludingChina,OtherEMDEs,UnitedKingdom,Restofworld
Jan 2018,1.19,1.36,1.27,1.14,0.94,0.05,0.59
Feb 2018,1.20,1.36,0.94,1.46,0.96,-0.02,0.45
Mar 2018,1.14,1.32,1.31,1.18,0.89,-0.02,0.34
Apr 2018,1.27,1.04,0.74,1.32,0.77,-0.04,0.28
May 2018,1.16,0.92,1.27,1.04,0.61,-0.02,0.29
June 2018,1.00,0.64,1.12,1.05,0.53,-0.06,0.32
July 2018,1.03,0.75,1.22,1.00,0.53,-0.10,0.25
Aug 2018,1.13,0.59,1.17,0.91,0.54,-0.07,0.19
Sept 2018,1.30,0.65,1.37,0.90,0.38,-0.06,0.11
Oct 2018,1.33,0.39,1.43,0.99,0.20,-0.02,0.08
Nov 2018,0.99,0.35,0.75,0.76,0.11,-0.03,0.05
Dec 2018,0.65,0.27,-0.11,0.44,-0.07,0.04,0.05
Jan 2019,0.42,0.35,-0.79,0.00,-0.13,0.21,0.00
Feb 2019,0.38,0.35,-0.88,-0.71,-0.23,0.51,0.03
Mar 2019,0.35,0.54,-0.44,-0.62,-0.14,0.71,0.01
Apr 2019,0.12,0.62,-0.01,-0.71,-0.15,0.55,-0.01
May 2019,0.26,0.58,-0.22,-0.27,-0.04,0.22,-0.08
June 2019,0.24,0.54,-0.32,-0.34,-0.10,-0.07,-0.12
